Columna,Estadístico,Valor p
UnitPrice,0.21070647239685059,4.7002224787550063e-20
ProductStandardCost,0.32001328468322754,9.231197083339186e-19
SalesAmount,0.214474618434906,5.1803433094400723e-20
TaxAmt,0.2180182933807373,5.678313146780384e-20
MaritalStatus,0.6360331177711487,7.604238283975481e-14
Gender,0.6744756102561951,4.711522513280164e-13
DayB,0.9403151869773865,0.0003488134534563869
MonthB,0.952707052230835,0.002011739183217287
YearB,0.9652170538902283,0.013993432745337486
Australia,0.516404926776886,5.586271754997164e-16
Canada,0.29008108377456665,3.947694141003065e-19
France,0.26414406299591064,1.9322706464691446e-19
Germany,0.3139890432357788,7.763111762301244e-19
United Kingdom,0.29008108377456665,3.947694141003065e-19
United States,0.6353588104248047,7.374007275021827e-14
Europe,0.516404926776886,5.586271754997164e-16
North America,0.6343480944633484,7.042382356523685e-14
Pacific,0.5265079736709595,8.155671555714608e-16
